intput,output,type,status
rahou,il est,verb,to review
ykoun,il est (général),verb,to review
3ando,il a,verb,to review
ye9bel,il accepte,verb,to review
yechri,il achète,verb,to review
yghib,il s'absente,verb,to review
yghawel,il a accélére,verb,to review
ykhef,il accélère,verb,to review
yzreb,il se dépêche,verb,to review
y3wen,il aide,verb,to review
yzid,il ajoute,verb,to review
yro7,il va / part,verb,to review
yche3al,il allume,verb,to review
yaguedi,il allume,verb,to review
y3ayet,il appelle,verb,to review
yestena,il attend,verb,to review
y7eb,il aime,verb,to review
ydji,il arrive,verb,to review
yel7a9,il arrive,verb,to review
yes9i,il arrose,verb,to review
yawssal,il arrive,verb,to review
ya7bes,il arrête,verb,to review
kayn,il y a,verb,to review
ye7a9,il a besoin,verb,to review
ya7cham,il a honte,verb,to review
yradja3,il rend,verb,to review
ykhaf,il a peur,verb,to review
ya3djaz,il a la flemme,verb,to review
yatwada,il fait ses ablutions,verb,to review
ykhewwef,il fait peur,verb,to review
ydaarab,il se battre,verb,to review
yechrob,il boit,verb,to review
yaghli,il boue,verb,to review
ykhabi,il cache,verb,to review
yatkhaba,il se cache,verb,to review
yksesser,il casser,verb,to review
ysakhan,il chauffe,verb,to review
ybedl,il change (qq chose),verb,to review
yatkal,il compte (sur qqun),verb,to review
yghani,il chante,verb,to review
y7awas,il cherche / se balade,verb,to review
yekhiyer,il choisit,verb,to review
yabda,il commence,verb,to review
yeshem,il comprend,verb,to review
ysoug,il conduit,verb,to review
yabni,il construit,verb,to review
yajri,il court,verb,to review
y9atta3,il coupe,verb,to review
yamen/ tamen,il croit,verb,to review
ytayyab,il cuisine,verb,to review
yatsa7er,il déjeune (matin ramadan),verb,to review
ya7bat,il descend,verb,to review
ysaksé,il demande,verb,to review
yefter,il déjeune,verb,to review
yet3echa,il dîne,verb,to review
ywasl,il dépose,verb,to review
ywelle,il devient,verb,to review
y9ol,il dit,verb,to review
y3té,il donne,verb,to review
imed,il donne,verb,to review
yettefi,il éteint,verb,to review
yabouss,il embrasse,verb,to review
ya7i,il enlève,verb,to review
y7at,il pose / met,verb,to review
yatna9al,il se déplace,verb,to review
yna9ass,il baisse / diminue,verb,to review
yor9od,il dort,verb,to review
yetfaham,il s'entend (avec qqun),verb,to review
yesma3,il écoute / entend,verb,to review
yedkhol,il entre / rentre,verb,to review
y9ele9,il s'énerve,verb,to review
y9ari,il enseigne,verb,to review
isiyi,il essaye,verb,to review
ythir,il s'étonne,verb,to review
yaktab,il écrit,verb,to review
yfid,il est utile / bénéfique,verb,to review
yahrab,il s'enfuit,verb,to review
yb3at,il envoie,verb,to review
yfehem,il explique / fait comprendre,verb,to review
yebta,il est en retard / tarde / fait attendre,verb,to review
ydir,il fait,verb,to review
yewdja3,il fait mal,verb,to review
yghid,il fait pitié,verb,to review
yekfi,il suffit,verb,to review
yeghle9,il ferme,verb,to review
ybala3,il ferme,verb,to review
yadrab,il frappe,verb,to review
yatkayef,il fume,verb,to review
yarba7,il gagne,verb,to review
yekber,il grandit / vieillit,verb,to review
ydo9,il goûte,verb,to review
yabra,il guérit,verb,to review
yeskoun,il habite,verb,to review
ywelef,il s'habitue,verb,to review
ysoum,il jeûne,verb,to review
ya3rad,il invite,verb,to review
yssab,il insulte,verb,to review
yarmi,il jète,verb,to review
ykhali,il laisse,verb,to review
yaghssal,il lave,verb,to review
naw9af,je me lève,verb,
yaw9af,il se leve,verb,to review
ye9ra,il lit / étudie,verb,to review
yekri,il loue,verb,to review
yel3b,il joue,verb,to review
yakul,il mange,verb,to review
yantkal,il le/la mange,verb,to review
yemchi,il marche / part,verb,to review
yakhalatt,il mélange,verb,to review
yakdab,il ment,verb,to review
yatfa7mou,il se met d'accord,verb,to review
yastahel,il mérite,verb,to review
yatla3,il monte,verb,to review
yarkab,il monte (dans un véhicule),verb,to review
y3om,il nage,verb,to review
ynadaf,il nettoie,verb,to review
yensa,il oublie,verb,to review
yefta7,il ouvre,verb,to review
yahder,il parle,verb,to review
ydjouz,il passe / entre,verb,to review
ybet,il passe la nuit,verb,to review
yashar,il passe la soirée,verb,to review
yakhssar,il perd,verb,to review
ykhalass,il paye,verb,to review
yessbar,il patiente,verb,to review
ysouwr,il photographie,verb,to review
yatmaskher,il plaisante,verb,to review
3adjebou,ça lui plaît,verb,to review
ye9der,il peut,verb,to review
yarfad,il porte / prend,verb,to review
yast9awha,il prend un café,verb,to review
yathala,il prend soin,verb,to review
yalbass,il porte (un vêtement) / s'habille,verb,to review
ylabass,il habille (qqun),verb,to review
ywedjed,il prépare,verb,to review
yadi,il prend,verb,to review
y9adam,il se présenter,verb,to review
yet7essen,il progresse,verb,to review
ya7ki,il raconte,verb,to review
yjib,il ramène / apporte,verb,to review
yzour,il rend visite / visite,verb,to review
yfi9,il se rendre compte,verb,to review
yseggem,il répare,verb,to review
yo93ed,il reste / s'asseoie,verb,to review
yriya7,il reste / se repose / s'asseoie,verb,to review
ychabeh,il ressemble,verb,to review
bqaw,il reste (temps),verb,to review
mezelou,il lui reste (temps),verb,to review
yatla9a,il rencontre,verb,to review
y3wed,il refait / répète,verb,to review
ykhamam,il réfléchit / pense,verb,to review
yfakar,il pense,verb,to review
ychouf,il regarde,verb,to review
yafri,il régler,verb,to review
yatle9a,il se rejoint / croise,verb,to review
y3amar,il remplit,verb,to review
ywajab,il répond,verb,to review
ysiya7,il renverse,verb,to review
yorja3,il revient,verb,to review
yweli,il revient,verb,to review
yachfa,il se souvient / se rappelle,verb,to review
ynoud,il se réveille / se lève,verb,to review
ya39al,il se remémore,verb,to review
youere,il montre,verb,to review
ya3raf,il saît/connaît,verb,to review
ysellek,il sauve / est sauvé / paye,verb,to review
ycham,il sent,verb,to review
y7ess,il sent (sentiment),verb,to review
yokhrej,il sort,verb,to review
ydawi,il soigne,verb,to review
yteba3,il suit,verb,to review
yched,il tient,verb,to review
yeskout,il se tait,verb,to review
ghlet,il s'est trompé,verb,to review
ytawwel,il tarde,verb,to review
yekhdem,il travaille / répare,verb,to review
yamrad,il tombe malade,verb,to review
yti7,il tombe,verb,to review
ymes,il touche,verb,to review
ya9lab,il tourne / se retourner,verb,to review
ysib,il trouve,verb,to review
yel9a,il trouve / retrouve,verb,to review
nal9a,je trouve,,
ybe3,il vend,verb,to review
y3ich,il vit,verb,to review
yedi,il tient / prend,verb,to review
ykemmel,il termine,verb,to review
yakhles,il se finit,verb,to review
ya9tol,il tue,verb,to review
yasahr,il se couche tard,verb,to review
ykhawi,il vide,verb,to review
ma3natha,il veut dire,verb,to review
yasra9,il vole,verb,to review
kaan,il était,verb,to review
9bel,il a accepté,verb,to review
chra,il a acheté,verb,to review
gheb,il s'est absenté,verb,to review
ghawel,il a acceléré,verb,to review
3wen,il a aidé,verb,to review
ra7,il est allé / parti,verb,to review
djah,il lui allait,verb,to review
3ayet,il a appelé / crié,verb,to review
stena,il a attendu,verb,to review
7ab,il a aimé / veut,verb,to review
dja,il est arrivé,verb,to review
l7a9,il est arrivé,verb,to review
Sralou,il est arrivé / survenu,verb,to review
7bes,il a arrêté,verb,to review
s7a9,il a eu besoin,verb,to review
khaf,il a eu peur,verb,to review
khewwef,il a fait peur,verb,to review
chrob,il a bu,verb,to review
kesser,il a cassé,verb,to review
tkal,il a compté (sur qqun),verb,to review
7awas,il a cherché / s'est baladé,verb,to review
khiyer,il a choisi,verb,to review
bda,il a commencé,verb,to review
fhem,il a compris,verb,to review
sag,il a conduit,verb,to review
amen,il a cru,verb,to review
7bat,il est descendu,verb,to review
saksa,il a demandé,verb,to review
wella,il est devenu,verb,to review
9aal,il a dit,verb,to review
3ta,il a donné,verb,to review
medd,il a donné,verb,to review
tfa,il a éteint,verb,to review
7at,il a posé / mis,verb,to review
r9od,il a dormi,verb,to review
sma3,il a écouté / entendu,verb,to review
dkhel,il est entré / rentré,verb,to review
t9ele9,il s'est énervé,verb,to review
siya,il a essayé,verb,to review
ktab,il a écrit,verb,to review
wessel,il a emmené,verb,to review
b3at,il a envoyé,verb,to review
faham,il a expliqué,verb,to review
bta,il a tardé / fait attendre,verb,to review
der,il a fait peur,verb,to review
wdje3,il a fait mal,verb,to review
khasou,il a eu besoin,verb,to review
twa7ach,il lui a manqué,verb,to review
ghle9,il a fermé,verb,to review
kber,il a grandi / vieilli,verb,to review
sken,il a habitué,verb,to review
lbes,il a porté / s'est habillé,verb,to review
welef,il s'est habitué,verb,to review
saam,il a jeûné,verb,to review
khalla,il a laissé,verb,to review
9ra,il a lu / étudié,verb,to review
l3eb,il a joué,verb,to review
kla,il a mangé,verb,to review
mcha,il a marché / est parti,verb,to review
kdab,il a menti,verb,to review
tla3,il est monté,verb,to review
rkab,il est monté (véhicule),verb,to review
zaad,il est né,verb,to review
nsa,il a oublié,verb,to review
7ell,il a ouvert,verb,to review
hder,il a parlé,verb,to review
djaaz,il est passé / entré,verb,to review
bet,il a passé la nuit,verb,to review
s'har,il a passé la soirée,verb,to review
bahhar,il a perdu,verb,to review
khallas,il a payé,verb,to review
sbar,il a patienté,verb,to review
9der,il a pu,verb,to review
wedjed,il a préparé,verb,to review
t7essen,il a progressé,verb,to review
7ka,il a raconté,verb,to review
jeb,il a ramené / apporté,verb,to review
khemmel,il a rangé,verb,to review
zar,il a rendu visite / visité,verb,to review
fa9,il s'est rendu compte,verb,to review
seggem,il a réparé,verb,to review
93ed,il est resté / s'est assis,verb,to review
b9a,il a resté (temps),verb,to review
3wed,il a refait / répéter,verb,to review
khamam,il a réfléchi / pensé,verb,to review
chef,il a regardé,verb,to review
siya7,il a renversé,verb,to review
si7,il s'est renversé,verb,to review
raja3,il est revenu,verb,to review
wela,il est revenu,verb,to review
chfa,il s'est souvenu / rappelé,verb,to review
naad,il s'est réveillé / s'est levé,verb,to review
ouera,il a montré,verb,to review
sellek,il a sauvé / a été sauvé / a payé,verb,to review
7ess,il a senti (sentiment),verb,to review
Khrej,il est sorti,verb,to review
tebe3,il a suivi,verb,to review
chedd,il a tenu,verb,to review
l9it,j'ai trouvé / tu as trouvé,verb,
l9a,il a trouvé,verb,
saab,il a trouvé,verb,to review
ja,il est venu,verb,to review
da,il a tenu / a pris,verb,to review
kemmel,il a terminé,verb,to review
b3id,loin,adjective,to review
3ayan,fatigué,adjective,to review
3ayana,fatiguée,adjective,to review
3ayanine,fatigué(e)s,adjective,to review
khfif,léger,adjective,to review
khfifa,légère,adjective,to review
khfef,léger(e)s,adjective,to review
jdid,neuf,adjective,to review
jdida,neuve,adjective,to review
jded,neuf(ve)s,adjective,to review
smin,gros,adjective,to review
smina,grosse,adjective,to review
smen,gros(ses),adjective,to review
mli7,bien,adjective,to review
mli7a,bien,adjective,to review
mle7,biens,adjective,to review
meftou7,ouvert,adjective,to review
meftou7a,ouverte,adjective,to review
meftou7in,ouvert(e)s,adjective,to review
kbir,grand,adjective,to review
kbira,grande,adjective,to review
kbar,grand(e)s,adjective,to review
sghir,petit,adjective,to review
sghira,petite,adjective,to review
sghaar,petit(e)s,adjective,to review
mrid,malade,adjective,to review
mrida,malade,adjective,to review
mrad,malades,adjective,to review
t9qil,lent,adjective,to review
t9qila,lente,adjective,to review
t9el,lent(e)s,adjective,to review
ghali,cher,adjective,to review
ghalia,chère,adjective,to review
ghaliyin,cher(e)s,adjective,to review
maghlou9,fermé,adjective,to review
maghlou9a,fermée,adjective,to review
maghlou9in,fermé(e)s,adjective,to review
