intput,output,type,status
rahou,il est,verb
ykoun,il est (général),verb
3ando,il a,verb
ye9bel,il accepte,verb
yechri,il achète,verb
yghib,il s'absente,verb
yghawel,il a accélére,verb
ykhef,il accélère,verb
yzreb,il se dépêche,verb
y3wen,il aide,verb
yzid,il ajoute,verb
yro7,il va / part,verb
yche3al,il allume,verb
yaguedi,il allume,verb
y3ayet,il appelle,verb
yestena,il attend,verb
y7eb,il aime,verb
ydji,il arrive,verb
yel7a9,il arrive,verb
yes9i,il arrose,verb
yawssal,il arrive,verb
ya7bes,il arrête,verb
kayn,il y a,verb
ye7a9,il a besoin,verb
ya7cham,il a honte,verb
yradja3,il rend,verb
ykhaf,il a peur,verb
ya3djaz,il a la flemme,verb
yatwada,il fait ses ablutions,verb
ykhewwef,il fait peur,verb
ydaarab,il se battre,verb
yechrob,il boit,verb
yaghli,il boue,verb
ykhabi,il cache,verb
yatkhaba,il se cache,verb
yksesser,il casser,verb
ysakhan,il chauffe,verb
ybedl,il change (qq chose),verb
yatkal,il compte (sur qqun),verb
yghani,il chante,verb
y7awas,il cherche / se balade,verb
yekhiyer,il choisit,verb
yabda,il commence,verb
yeshem,il comprend,verb
ysoug,il conduit,verb
yabni,il construit,verb
yajri,il court,verb
y9atta3,il coupe,verb
yamen/ tamen,il croit,verb
ytayyab,il cuisine,verb
yatsa7er,il déjeune (matin ramadan),verb
ya7bat,il descend,verb
ysaksé,il demande,verb
yefter,il déjeune,verb
yet3echa,il dîne,verb
ywasl,il dépose,verb
ywelle,il devient,verb
y9ol,il dit,verb
y3té,il donne,verb
imed,il donne,verb
yettefi,il éteint,verb
yabouss,il embrasse,verb
ya7i,il enlève,verb
y7at,il pose / met,verb
yatna9al,il se déplacer,verb
yna9ass,il baisse / diminue,verb
yor9od,il dort,verb
yetfaham,il s'entend (avec qqun),verb
yesma3,il écoute / entend,verb
yedkhol,il entre / rentre,verb
y9ele9,il s'énerve,verb
y9ari,il enseigne,verb
isiyi,il essaye,verb
ythir,il s'étonne,verb
yaktab,il écrit,verb
yfid,il est utile / bénéfique,verb
yahrab,il s'enfuit,verb
yb3at,il envoie,verb
yfehem,il explique / fait comprendre,verb
yebta,il est en retard / tarde / fait attendre,verb
ydir,il fait,verb
yewdja3,il fait mal,verb
yghid,il fait pitié,verb
yekfi,il suffit,verb
yeghle9,il ferme,verb
ybala3,il ferme,verb
yadrab,il frappe,verb
yatkayef,il fume,verb
yarba7,il gagne,verb
yekber,il grandit / vieillit,verb
ydo9,il goûte,verb
yabra,il guérit,verb
yeskoun,il habite,verb
ywelef,il s'habitue,verb
ysoum,il jeûne,verb
ya3rad,il invite,verb
yssab,il insulte,verb
yarmi,il jète,verb
ykhali,il laisse,verb
yaghssal,il lave,verb
yaw9af,il se leve,verb
ye9ra,il lit / étudie,verb
yekri,il loue,verb
yel3b,il joue,verb
yakul,il mange,verb
yantkal,il le/la mange,verb
yemchi,il marche / part,verb
yakhalatt,il mélange,verb
yakdab,il ment,verb
yatfa7mou,il se met d'accord,verb
yastahel,il mérite,verb
yatla3,il monte,verb
yarkab,il monte (dans un véhicule),verb
y3om,il nage,verb
ynadaf,il nettoie,verb
yensa,il oublie,verb
yefta7,il ouvre,verb
yahder,il parle,verb
ydjouz,il passe / entre,verb
ybet,il passe la nuit,verb
yashar,il passe la soirée,verb
yakhssar,il perd,verb
ykhalass,il paye,verb
yessbar,il patiente,verb
ysouwr,il photographie,verb
yatmaskher,il plaisante,verb
3adjebou,ça lui plaît,verb
ye9der,il peut,verb
yarfad,il porte / prend,verb
yast9awha,il prend un café,verb
yathala,il prendre soin,verb
yalbass,il porte (un vêtement) / s'habille,verb
ylabass,il habille (qqun),verb
ywedjed,il prépare,verb
yadi,il prend,verb
y9adam,il se présenter,verb
yet7essen,il progresse,verb
ya7ki,il raconte,verb
yjib,il ramène / apporte,verb
yzour,il rend visite / visite,verb
yfi9,il se rendre compte,verb
yseggem,il répare,verb
yo93ed,il reste / s'asseoie,verb
yriya7,il reste / se repose / s'asseoie,verb
ychabeh,il ressemble,verb
bqaw,il reste (temps),verb
mezelou,il lui reste (temps),verb
yatla9a,il rencontre,verb
y3wed,il refait / répète,verb
ykhamam,il réfléchit / pense,verb
yfakar,il pense,verb
ychouf,il regarde,verb
yafri,il régler,verb
yatle9a,il se rejoint / croise,verb
y3amar,il remplit,verb
ywajab,il répond,verb
ysiya7,il renverse,verb
yorja3,il revient,verb
yweli,il revient,verb
yachfa,il se souvient / se rappelle,verb
ynoud,il se réveille / se lève,verb
ya39al,il se remémore,verb
youere,il montre,verb
ya3raf,il saît/connaît,verb
ysellek,il sauve / est sauvé / paye,verb
ycham,il sent,verb
y7ess,il sent (sentiment),verb
yokhrej,il sort,verb
ydawi,il soigne,verb
yteba3,il suit,verb
yched,il tient,verb
yeskout,il se tait,verb
ghlet,il s'est trompé,verb
ytawwel,il tarde,verb
yekhdem,il travaille / répare,verb
yamrad,il tombe malade,verb
yti7,il tombe,verb
ymes,il touche,verb
ya9lab,il tourne / se retourner,verb
ysib,il trouve,verb
yel9a,il trouve / retrouve,verb
ybe3,il vend,verb
y3ich,il vit,verb
yedi,il tient / prend,verb
ykemmel,il termine,verb
yakhles,il se finit,verb
ya9tol,il tue,verb
yasahr,il se couche tard,verb
ykhawi,il vide,verb
ma3natha,il veut dire,verb
yasra9,il vole,verb
kaan,il était,verb
9bel,il a accepté,verb
chra,il a acheté,verb
gheb,il s'est absenté,verb
ghawel,il a acceléré,verb
3wen,il a aidé,verb
ra7,il est allé / parti,verb
djah,il lui allait,verb
3ayet,il a appelé / crié,verb
stena,il a attendu,verb
7ab,il a aimé / veut,verb
dja,il est arrivé,verb
l7a9,il est arrivé,verb
Sralou,il est arrivé / survenu,verb
7bes,il a arrêté,verb
s7a9,il a eu besoin,verb
khaf,il a eu peur,verb
khewwef,il a fait peur,verb
chrob,il a bu,verb
kesser,il a cassé,verb
tkal,il a compté (sur qqun),verb
7awas,il a cherché / s'est baladé,verb
khiyer,il a choisi,verb
bda,il a commencé,verb
fhem,il a compris,verb
sag,il a conduit,verb
amen,il a cru,verb
7bat,il est descendu,verb
saksa,il a demandé,verb
wella,il est devenu,verb
9aal,il a dit,verb
3ta,il a donné,verb
medd,il a donné,verb
tfa,il a éteint,verb
7at,il a posé / mis,verb
r9od,il a dormi,verb
sma3,il a écouté / entendu,verb
dkhel,il est entré / rentré,verb
t9ele9,il s'est énervé,verb
siya,il a essayé,verb
ktab,il a écrit,verb
wessel,il a emmené,verb
b3at,il a envoyé,verb
faham,il a expliqué,verb
bta,il a tardé / fait attendre,verb
der,il a fait peur,verb
wdje3,il a fait mal,verb
khasou,il a eu besoin,verb
twa7ach,il lui a manqué,verb
ghle9,il a fermé,verb
kber,il a grandi / vieilli,verb
sken,il a habitué,verb
lbes,il a porté / s'est habillé,verb
welef,il s'est habitué,verb
saam,il a jeûné,verb
khalla,il a laissé,verb
9ra,il a lu / étudié,verb
l3eb,il a joué,verb
kla,il a mangé,verb
mcha,il a marché / est parti,verb
kdab,il a menti,verb
tla3,il est monté,verb
rkab,il est monté (véhicule),verb
zaad,il est né,verb
nsa,il a oublié,verb
7ell,il a ouvert,verb
hder,il a parlé,verb
djaaz,il est passé / entré,verb
bet,il a passé la nuit,verb
s'har,il a passé la soirée,verb
bahhar,il a perdu,verb
khallas,il a payé,verb
sbar,il a patienté,verb
9der,il a pu,verb
wedjed,il a préparé,verb
t7essen,il a progressé,verb
7ka,il a raconté,verb
jeb,il a ramené / apporté,verb
khemmel,il a rangé,verb
zar,il a rendu visite / visité,verb
fa9,il s'est rendu compte,verb
seggem,il a réparé,verb
93ed,il est resté / s'est assis,verb
b9a,il a resté (temps),verb
3wed,il a refait / répéter,verb
khamam,il a réfléchi / pensé,verb
chef,il a regardé,verb
siya7,il a renversé,verb
si7,il s'est renversé,verb
raja3,il est revenu,verb
wela,il est revenu,verb
chfa,il s'est souvenu / rappelé,verb
naad,il s'est réveillé / s'est levé,verb
ouera,il a montré,verb
sellek,il a sauvé / a été sauvé / a payé,verb
7ess,il a senti (sentiment),verb
Khrej,il est sorti,verb
tebe3,il a suivi,verb
chedd,il a tenu,verb
saab,il a trouvé,verb
ja,il est venu,verb
da,il a tenu / a pris,verb
kemmel,il a terminé,verb
b3id,loin,adjective
3ayan,fatigué,adjective
